"Last_Name","Name","Pos","Team","Num","feet","inches","Weight","DOB","Pos_r","Cm","Kg","Dob","Age","Cm_j"
"Cochran"," Devin","T","CIN",76,6,7,310,"7/17/98","OL-G-C",200.66,140.91,1998-07-17,25.1,199.01
"Cochrane"," Jack","LB","KC",43,6,3,236,"2/9/99","LB",190.5,107.27,1999-02-09,24.5,188.72
"Colbert"," Adrian","DB","CHI",23,6,2,205,"10/6/93","DB-CB-S",187.96,93.18,1993-10-06,29.9,187.39
"Coldon"," C.J.","CB","MIN",35,6,1,180,"9/3/98","DB-CB-S",185.42,81.82,1998-09-03,24.9,186.55
"Cole"," AJ","P","LV",6,6,4,220,"11/27/95","S.TEAMS",193.04,100,1995-11-27,27.7,191.64
"Cole"," Dylan","LB","CHI",55,6,0,240,"5/19/94","LB",182.88,109.09,1994-05-19,29.2,183.75
"Cole"," Keelan","WR","LV",84,6,1,194,"4/20/93","WR-TE",185.42,88.18,1993-04-20,30.3,184.73
"Cole"," Mason","OL","PIT",61,6,5,298,"3/28/96","OL-G-C",195.58,135.45,1996-03-28,27.4,197.1
"Coleman"," Chris","WR","MIA",83,5,11,192,"4/3/99","WR-TE",180.34,87.27,1999-04-03,24.4,180.92
"Coleman"," DJ","LB","JAC",54,6,5,283,NA,"LB",195.58,128.64,NA,NA,193.85
"Coleman"," Larnel","T","CAR",74,6,6,310,"6/22/98","OL-G-C",198.12,140.91,1998-06-22,25.1,199.35
"Colletto"," Jack","FB","SF",49,6,3,237,"11/19/98","RB-FB",190.5,107.73,1998-11-19,24.7,188.01
"Collier"," L.J.","DL","ARI",91,6,2,291,"9/12/95","DL-DE",187.96,132.27,1995-09-12,27.9,186.69
"Collins"," Aviante","T","CHI",NA,6,4,292,"4/21/93","OL-G-C",193.04,132.73,1993-04-21,30.3,191.49
"Collins"," La'el","T","CIN",71,6,4,314,"7/26/93","OL-G-C",193.04,142.73,1993-07-26,30.1,192.68
"Collins"," Maliek","DT","HOU",96,6,2,310,"4/8/95",NA,187.96,140.91,1995-04-08,28.4,187.45
"Collins"," Nico","WR","HOU",12,6,4,215,"3/19/99","WR-TE",193.04,97.73,1999-03-19,24.4,191.36
"Collins"," Zaven","LB","ARI",25,6,4,260,"5/19/99","LB",193.04,118.18,1999-05-19,24.2,194.88
"Colon"," Trystan","OL","NYJ",65,6,3,313,"3/23/98","OL-G-C",190.5,142.27,1998-03-23,25.4,191.86
"Cominsky"," John","DL","DET",79,6,5,285,"11/22/95","DL-DE",195.58,129.55,1995-11-22,27.7,197.03
"Conklin"," Jack","T","CLE",78,6,6,308,"8/17/94","OL-G-C",198.12,140,1994-08-17,29,197.08
"Conklin"," Tyler","TE","NYJ",83,6,3,254,"7/30/95","WR-TE",190.5,115.45,1995-07-30,28,191.58
"Conley"," Chris","WR","SF",17,6,3,205,"10/25/92","WR-TE",190.5,93.18,1992-10-25,30.8,191.22
"Connelly"," Ryan","LB","NO",43,6,2,234,"10/3/95","LB",187.96,106.36,1995-10-03,27.9,189.24
"Conner"," Chamarri","DB","KC",27,6,0,206,"7/11/00","DB-CB-S",182.88,93.64,2000-07-11,23.1,180.86
"Conner"," James","RB","ARI",6,6,1,233,"5/5/95","RB-FB",185.42,105.91,1995-05-05,28.3,186.14
"Conner"," Snoop","RB","JAC",24,5,10,222,"8/1/00","RB-FB",177.8,100.91,2000-08-01,23,179.12
"Conner"," Tanner","TE","MIA",80,6,3,232,"3/20/98","WR-TE",190.5,105.45,1998-03-20,25.4,187.9
"Cook"," Alex","DB","NYG",23,6,1,196,"5/21/99","DB-CB-S",185.42,89.09,1999-05-21,24.2,186.51
"Cook"," Anthony","S","KC",47,6,0,185,NA,"DB-CB-S",182.88,84.09,NA,NA,183.02
"Cook"," Bryan","S","KC",6,6,1,206,"9/7/99","DB-CB-S",185.42,93.64,1999-09-07,23.9,188.02
"Cook"," Dylan","T","PIT",60,6,6,305,"11/1/98","OL-G-C",198.12,138.64,1998-11-01,24.8,195.47
"Cook"," James","RB","BUF",4,5,11,190,"9/25/99","RB-FB",180.34,86.36,1999-09-25,23.9,181.81
"Cooke"," Logan","P","JAC",9,6,5,230,"7/28/95","S.TEAMS",195.58,104.55,1995-07-28,28,193.5
"Cooks"," Brandin","WR","DAL",3,5,10,189,"9/25/93","WR-TE",177.8,85.91,1993-09-25,29.9,175.88
"Cooks"," Elijah","WR","JAC",84,6,4,215,NA,"WR-TE",193.04,97.73,NA,NA,195.51
"Cooney"," Nolan","P","ARI",16,6,3,202,"9/18/96","S.TEAMS",190.5,91.82,1996-09-18,26.9,191.17
"Cooper"," Amari","WR","CLE",2,6,1,211,"6/17/94","WR-TE",185.42,95.91,1994-06-17,29.2,184.21
"Cooper"," Jonathon","LB","DEN",0,6,4,257,"1/8/98","LB",193.04,116.82,1998-01-08,25.6,194.82
"Cooper"," Robert","DT","SEA",NA,6,2,335,NA,NA,187.96,152.27,NA,NA,189.61
"Copeland"," Marquise","DT","LAR",93,6,2,287,"5/9/97",NA,187.96,130.45,1997-05-09,26.3,190.41
"Corbett"," Austin","G","CAR",63,6,4,305,"9/5/95","OL-G-C",193.04,138.64,1995-09-05,27.9,193.38
"Corbin"," Jashaun","RB","NYG",25,6,0,221,"8/20/00","RB-FB",182.88,100.45,2000-08-20,23,184.37
"Corker"," Yusuf","DB","CIN",37,6,0,197,"12/26/98","DB-CB-S",182.88,89.55,1998-12-26,24.6,183.93
"Corral"," Matt","QB","CAR",2,6,2,205,"1/31/99","QB",187.96,93.18,1999-01-31,24.5,188.42
"Cosby"," Bryce","CB","LV",44,5,10,185,"3/22/99","DB-CB-S",177.8,84.09,1999-03-22,24.4,178.85
"Cosmi"," Sam","T","WAS",76,6,6,309,"2/16/99","OL-G-C",198.12,140.45,1999-02-16,24.5,195.85
"Cota"," Chase","WR","DET",88,6,4,201,NA,"WR-TE",193.04,91.36,NA,NA,191.94
"Cotton Jr."," Jeff","WR","GB",82,6,2,206,"4/17/97","WR-TE",187.96,93.64,1997-04-17,26.3,188.38
"Cotton Sr."," Lester","G","MIA",66,6,4,335,"2/20/96","OL-G-C",193.04,152.27,1996-02-20,27.5,194.43
"Coughlin"," Carter","LB","NYG",52,6,3,236,"7/21/97","LB",190.5,107.27,1997-07-21,26.1,192.62
"Coulter"," Isaiah","WR","BUF",82,6,2,198,"9/18/98","WR-TE",187.96,90,1998-09-18,24.9,188.82
"Cousins"," Kirk","QB","MIN",8,6,3,205,"8/19/88","QB",190.5,93.18,1988-08-19,35,191.42
"Coutee"," Keke","WR","NO",NA,5,11,180,"1/14/97","WR-TE",180.34,81.82,1997-01-14,26.6,182.9
"Covey"," Britain","WR","PHI",18,5,8,173,"3/18/97","WR-TE",172.72,78.64,1997-03-18,26.4,171.23
"Covington"," Christian","DL","DET",52,6,2,289,"10/16/93","DL-DE",187.96,131.36,1993-10-16,29.8,189.28
"Cowart"," Byron","DT","HOU",99,6,3,300,"5/20/96",NA,190.5,136.36,1996-05-20,27.2,188.86
"Cox"," Fletcher","DT","PHI",91,6,4,310,"12/13/90",NA,193.04,140.91,1990-12-13,32.7,194.85
"Cox"," Jabril","LB","DAL",14,6,3,233,"4/16/98","LB",190.5,105.91,1998-04-16,25.3,190.3
"Cox"," Morgan","LS","TEN",46,6,4,233,"4/26/86","S.TEAMS",193.04,105.91,1986-04-26,37.3,192.66
"Cox Jr."," Brenton","LB","GB",57,6,4,250,"1/30/00","LB",193.04,113.64,2000-01-30,23.5,193
"Coyle"," Tyler","S","DAL",31,6,1,209,"11/15/98","DB-CB-S",185.42,95,1998-11-15,24.7,184.69
"Cracraft"," River","WR","MIA",85,6,0,198,"11/1/94","WR-TE",182.88,90,1994-11-01,28.8,182.39
"Crawford"," Kekoa","WR","KC",NA,6,0,192,"2/10/98","WR-TE",182.88,87.27,1998-02-10,25.5,183.64
"Crockett"," Damarea","RB","NYJ",33,5,11,225,"12/22/97","RB-FB",180.34,102.27,1997-12-22,25.6,178.72
"Cronk"," Coy","T","JAC",64,6,4,318,"1/18/98","OL-G-C",193.04,144.55,1998-01-18,25.6,193.87
"Crosby"," Maxx","DE","LV",98,6,5,255,"8/22/97","DL-DE",195.58,115.91,1997-08-22,26,196.17
"Cross"," Charles","T","SEA",67,6,5,311,"11/25/00","OL-G-C",195.58,141.36,2000-11-25,22.7,197.81
"Cross"," Nick","S","IND",20,6,0,212,"9/10/01","DB-CB-S",182.88,96.36,2001-09-10,21.9,181.92
"Crossen"," Keion","DB","MIA",27,5,10,195,"4/17/96","DB-CB-S",177.8,88.64,1996-04-17,27.3,177.53
"Crowder"," Jamison","WR","NYG",80,5,8,185,"6/17/93","WR-TE",172.72,84.09,1993-06-17,30.2,173.75
"Cruickshank"," Aron","WR","CHI",84,5,9,165,"9/7/00","WR-TE",175.26,75,2000-09-07,22.9,178.3
"Cruikshank"," Dane","DB","NYJ",39,6,1,209,"4/27/95","DB-CB-S",185.42,95,1995-04-27,28.3,182.63
"Cunningham"," Korey","T","NYG",70,6,6,311,"5/17/95","OL-G-C",198.12,141.36,1995-05-17,28.2,197.05
"Cunningham"," Malik","QB","NE",64,6,0,188,"10/6/98","QB",182.88,85.45,1998-10-06,24.9,182.16
"Curhan"," Jake","T","SEA",74,6,6,316,"7/9/98","OL-G-C",198.12,143.64,1998-07-09,25.1,198.97
"Curl"," Kamren","S","WAS",31,6,2,198,"3/31/99","DB-CB-S",187.96,90,1999-03-31,24.4,188.73
"Curtis"," McClendon","G","LV",63,6,6,325,"9/16/99","OL-G-C",198.12,147.73,1999-09-16,23.9,197.52
"Cushenberry III"," Lloyd","C","DEN",79,6,4,315,"11/22/97","OL-G-C",193.04,143.18,1997-11-22,25.7,190.97
"Dabo"," Marcel","S","IND",42,6,0,208,"1/10/00","DB-CB-S",182.88,94.55,2000-01-10,23.6,181.53
"Dafney"," Dominique","TE","TB",82,6,3,235,"6/3/97","WR-TE",190.5,106.82,1997-06-03,26.2,190.8
"Dale"," DJ","DT","BUF",61,6,2,302,NA,NA,187.96,137.27,NA,NA,187.74
"Daley"," Dennis","OL","ARI",71,6,6,325,"8/7/96","OL-G-C",198.12,147.73,1996-08-07,27,199.13
"Dallas"," DeeJay","RB","SEA",31,5,10,214,"9/16/98","RB-FB",177.8,97.27,1998-09-16,24.9,180.29
"Dalman"," Drew","OL","ATL",67,6,3,300,"10/15/98","OL-G-C",190.5,136.36,1998-10-15,24.8,190.16
"Dalton"," Andy","QB","CAR",14,6,2,220,"10/29/87","QB",187.96,100,1987-10-29,35.8,187.98
"Daly"," Scott","LS","DET",47,6,1,250,"2/7/94","S.TEAMS",185.42,113.64,1994-02-07,29.5,187.04
"Daniels"," Braeden","OL","WAS",79,6,4,297,"8/22/00","OL-G-C",193.04,135,2000-08-22,23,196.59
"Daniels"," Darrell","TE","DET",NA,6,3,246,"11/22/94","WR-TE",190.5,111.82,1994-11-22,28.7,190.83
"Daniels"," James","OL","PIT",78,6,4,327,"9/13/97","OL-G-C",193.04,148.64,1997-09-13,25.9,191.05
"Danna"," Mike","DE","KC",51,6,2,257,"12/1/97","DL-DE",187.96,116.82,1997-12-01,25.7,188.03
"Darby"," Frank","WR","ATL",88,6,1,200,"9/8/97","WR-TE",185.42,90.91,1997-09-08,25.9,185.56
"Darden"," Jaelon","WR","CLE",16,5,8,175,"1/14/99","WR-TE",172.72,79.55,1999-01-14,24.6,174.04
"Darnold"," Sam","QB","SF",14,6,3,225,"6/5/97","QB",190.5,102.27,1997-06-05,26.2,191.96
"Darrisaw"," Christian","OT","MIN",71,6,5,315,"6/2/99","OL-G-C",195.58,143.18,1999-06-02,24.2,194.55
"Davenport"," Marcus","LB","MIN",0,6,6,265,"9/4/96","LB",198.12,120.45,1996-09-04,26.9,200.93
"David"," Lavonte","LB","TB",54,6,1,233,"1/23/90","LB",185.42,105.91,1990-01-23,33.6,185.04
"Davidson"," D.J.","DL","NYG",98,6,3,327,"12/16/99","DL-DE",190.5,148.64,1999-12-16,23.7,190.34
"Davidson"," Marlon","DL","SF",62,6,3,303,"5/11/98","DL-DE",190.5,137.73,1998-05-11,25.3,192.77
"Davidson"," Zach","TE","BUF",84,6,7,251,"7/15/98","WR-TE",200.66,114.09,1998-07-15,25.1,202.7
"Davis"," Alonzo","DB","TEN",NA,6,2,192,NA,"DB-CB-S",187.96,87.27,NA,NA,185.64
"Davis"," Ashtyn","S","NYJ",21,6,1,202,"10/10/96","DB-CB-S",185.42,91.82,1996-10-10,26.8,182.65
"Davis"," Avery","WR","DET",NA,5,11,198,NA,"WR-TE",180.34,90,NA,NA,180.89
"Davis"," Carlos","DT","ATL",NA,6,2,320,"8/22/96",NA,187.96,145.45,1996-08-22,27,188.21
"Davis"," Cody","DB","NE",22,6,2,203,"6/6/89","DB-CB-S",187.96,92.27,1989-06-06,34.2,189.4
"Davis"," Corey","WR","NYJ",84,6,3,209,"1/11/95","WR-TE",190.5,95,1995-01-11,28.6,186.71
"Davis"," Daewood","WR","MIA",87,6,1,196,NA,"WR-TE",185.42,89.09,NA,NA,185.29
"Davis"," Davion","WR","ARI",NA,5,11,199,"10/23/96","WR-TE",180.34,90.45,1996-10-23,26.8,176.35
"Davis"," Demario","LB","NO",56,6,2,248,"1/11/89","LB",187.96,112.73,1989-01-11,34.6,188.13
"Davis"," Derius","WR","LAC",12,5,8,165,"9/11/00","WR-TE",172.72,75,2000-09-11,22.9,173.2
"Davis"," Domenique","DT","CIN",72,6,2,326,"2/28/96",NA,187.96,148.18,1996-02-28,27.5,190.17
"Davis"," Gabe","WR","BUF",13,6,2,225,"4/1/99","WR-TE",187.96,102.27,1999-04-01,24.4,185.94
"Davis"," Jalen","CB","CIN",35,5,10,190,"2/2/96","DB-CB-S",177.8,86.36,1996-02-02,27.5,176.22
"Davis"," Jamin","LB","WAS",52,6,3,234,"12/12/98","LB",190.5,106.36,1998-12-12,24.7,187.59
"Davis"," Jarrad","LB","NYG",57,6,1,238,"11/16/94","LB",185.42,108.18,1994-11-16,28.7,187.76
"Davis"," Jordan","DT","PHI",90,6,6,336,"1/12/00",NA,198.12,152.73,2000-01-12,23.6,199.26
"Davis"," Kaden","WR","ARI",NA,6,1,190,"9/25/98","WR-TE",185.42,86.36,1998-09-25,24.9,186.39
"Davis"," Kalia","DL","SF",93,6,2,310,"10/2/98","DL-DE",187.96,140.91,1998-10-02,24.9,190.7
"Davis"," Malik","RB","DAL",34,5,11,202,"11/26/98","RB-FB",180.34,91.82,1998-11-26,24.7,180.35
"Davis"," Michael","CB","LAC",43,6,2,196,"1/6/95","DB-CB-S",187.96,89.09,1995-01-06,28.6,186.95
"Davis"," Nate","OL","CHI",64,6,3,316,"9/23/96","OL-G-C",190.5,143.64,1996-09-23,26.9,194.07
"Davis"," Raekwon","DT","MIA",98,6,7,335,"8/21/97",NA,200.66,152.27,1997-08-21,26,199.95
"Davis"," Shaquan","WR","NO",80,6,5,215,NA,"WR-TE",195.58,97.73,NA,NA,193.31
"Davis"," Tae","LB","ATL",50,6,0,222,"8/14/96","LB",182.88,100.91,1996-08-14,27,180.95
"Davis"," Timarcus","CB","LAR",24,6,0,180,NA,"DB-CB-S",182.88,81.82,NA,NA,181.93
"Davis"," Tyler","TE","GB",84,6,4,252,"4/2/97","WR-TE",193.04,114.55,1997-04-02,26.4,191.39
"Davis"," Tyon","CB","LAR",20,6,0,180,"5/22/99","DB-CB-S",182.88,81.82,1999-05-22,24.2,181.98
"Davis"," Wyatt","G","NYG",67,6,4,315,"2/17/99","OL-G-C",193.04,143.18,1999-02-17,24.5,191.56
"Davis III"," Carlton","CB","TB",24,6,1,206,"12/31/96","DB-CB-S",185.42,93.64,1996-12-31,26.6,185.31
"Davis Jr."," Carl","DL","NE",98,6,5,320,"3/2/92","DL-DE",195.58,145.45,1992-03-02,31.5,196.25
"Davis-Gaither"," Akeem","LB","CIN",59,6,2,228,"9/21/97","LB",187.96,103.64,1997-09-21,25.9,188.29
"Davis-Price"," Tyrion","RB","SF",32,6,1,219,"10/23/00","RB-FB",185.42,99.55,2000-10-23,22.8,187.69
"Dawkins"," Dion","OT","BUF",73,6,5,320,"4/26/94","OL-G-C",195.58,145.45,1994-04-26,29.3,197.22
"Dawson"," Duke","DB","PIT",33,5,10,198,"10/13/95","DB-CB-S",177.8,90,1995-10-13,27.8,175.58
"Day"," Sheldon","DL","MIN",52,6,1,294,"7/1/94","DL-DE",185.42,133.64,1994-07-01,29.1,186.23
"Deablo"," Divine","LB","LV",5,6,3,226,"8/17/98","LB",190.5,102.73,1998-08-17,25,191.96
"Dean"," Jamel","CB","TB",35,6,1,206,"10/15/96","DB-CB-S",185.42,93.64,1996-10-15,26.8,187.26
"Dean"," Nakobe","LB","PHI",17,5,11,231,"12/13/00","LB",180.34,105,2000-12-13,22.7,180.41
"Dean"," Trey","S","NYJ",38,6,2,200,"2/29/00","DB-CB-S",187.96,90.91,2000-02-29,23.5,188.06
"Deaton"," Dawson","G","CLE",52,6,1,306,"5/6/99","OL-G-C",185.42,139.09,1999-05-06,24.3,185.77
"Decker"," Taylor","OT","DET",68,6,7,318,"8/23/93","OL-G-C",200.66,144.55,1993-08-23,30,199.72
"Deckers"," Evan","LS","TB",86,6,3,252,"2/23/99","S.TEAMS",190.5,114.55,1999-02-23,24.5,191.64
"Deculus"," Austin","OT","HOU",76,6,5,321,"3/12/99","OL-G-C",195.58,145.91,1999-03-12,24.4,194.48
"Deguara"," Josiah","TE","GB",81,6,2,238,"2/14/97","WR-TE",187.96,108.18,1997-02-14,26.5,188.38
"Deiter"," Michael","C","HOU",63,6,6,315,"9/3/96","OL-G-C",198.12,143.18,1996-09-03,26.9,196.48
"Delance"," Jean","OT","GB",79,6,4,303,"1/14/98","OL-G-C",193.04,137.73,1998-01-14,25.6,193.73
"Delaney"," Dee","DB","TB",30,5,11,200,"2/20/95","DB-CB-S",180.34,90.91,1995-02-20,28.5,180.54
"Dell"," Tank","WR","HOU",13,5,10,165,"10/29/99","WR-TE",177.8,75,1999-10-29,23.8,176.23
"Delpit"," Grant","S","CLE",22,6,3,208,"9/20/98","DB-CB-S",190.5,94.55,1998-09-20,24.9,185.42
"Demercado"," Emari","RB","ARI",NA,5,9,215,"1/20/99","RB-FB",175.26,97.73,1999-01-20,24.6,175.88
"Demus Jr."," Dontay","WR","BAL",18,6,3,218,"9/26/00","WR-TE",190.5,99.09,2000-09-26,22.9,191.61
"Denbow"," Trevor","S","IND",43,5,10,208,"8/26/98","DB-CB-S",177.8,94.55,1998-08-26,25,178.11
"Deng"," Kuony","LB","CHI",46,6,6,240,"8/17/98","LB",198.12,109.09,1998-08-17,25,198.8
"Denis"," Lukas","DB","ATL",41,5,11,190,"4/13/97","DB-CB-S",180.34,86.36,1997-04-13,26.3,179.04
"Dennis"," SirVocea","LB","TB",8,6,0,226,"3/9/00","LB",182.88,102.73,2000-03-09,23.4,181.24
"DePaola"," Andrew","LS","MIN",42,6,1,229,"7/28/87","S.TEAMS",185.42,104.09,1987-07-28,36.1,181.93
"Devito"," Tommy","QB","NYG",5,6,2,210,"8/7/98","QB",187.96,95.45,1998-08-07,25,186.99
"Dexter Sr."," Gervon","DL","CHI",98,6,6,312,"10/5/01","DL-DE",198.12,141.82,2001-10-05,21.9,196.67
"Diabate"," Mohamoud","LB","CLE",43,6,4,225,"5/18/01","LB",193.04,102.27,2001-05-18,22.2,191.35
"Diaby"," YaYa","LB","TB",0,6,3,263,"5/30/99","LB",190.5,119.55,1999-05-30,24.2,192.08
"Dicker"," Cameron","K","LAC",11,6,1,216,"5/6/00","S.TEAMS",185.42,98.18,2000-05-06,23.3,183.97
"Dickerson"," Landon","G","PHI",69,6,6,332,"9/30/98","OL-G-C",198.12,150.91,1998-09-30,24.9,196.36
"Dickerson"," Matt","DT","KC",93,6,5,292,"11/9/95",NA,195.58,132.73,1995-11-09,27.8,194.04
"Dickson"," Michael","P","SEA",4,6,2,208,"1/4/96","S.TEAMS",187.96,94.55,1996-01-04,27.6,187.71
"Diesch"," Kellen","OL","CHI",78,6,7,300,"8/23/97","OL-G-C",200.66,136.36,1997-08-23,26,200.73
"Diggs"," Quandre","S","SEA",6,5,9,197,"1/22/93","DB-CB-S",175.26,89.55,1993-01-22,30.6,174.75
"Diggs"," Stefon","WR","BUF",14,6,0,191,"11/29/93","WR-TE",182.88,86.82,1993-11-29,29.7,180.01
"Diggs"," Trevon","CB","DAL",7,6,2,195,"9/20/98","DB-CB-S",187.96,88.64,1998-09-20,24.9,187.47
"DiLauro"," Christian","OT","MIN",NA,6,6,300,"11/11/94","OL-G-C",198.12,136.36,1994-11-11,28.8,199.79
"Dillard"," Andre","OT","TEN",71,6,5,315,"10/3/95","OL-G-C",195.58,143.18,1995-10-03,27.9,193.34
"Dillon"," AJ","RB","GB",28,6,0,247,"5/2/98","RB-FB",182.88,112.27,1998-05-02,25.3,181.74
"Dillon"," Brandon","TE","WAS",NA,6,5,250,"4/30/97","WR-TE",195.58,113.64,1997-04-30,26.3,196.01
"Dimukeje"," Victor","LB","ARI",52,6,2,262,"11/18/99","LB",187.96,119.09,1999-11-18,23.7,188.11
"Dinucci"," Ben","QB","DEN",6,6,2,215,"11/24/96","QB",187.96,97.73,1996-11-24,26.7,188.5
"DiRenzo"," J.D.","OL","CAR",65,6,6,315,NA,"OL-G-C",198.12,143.18,NA,NA,196.63
"Dissly"," Will","TE","SEA",89,6,4,265,"7/8/96","WR-TE",193.04,120.45,1996-07-08,27.1,193.08
"Dixon"," De'Shaan","LB","JAC",47,6,5,247,"12/16/98","LB",195.58,112.27,1998-12-16,24.7,193.54
"Dixon"," Riley","P","DEN",19,6,4,221,"8/24/93","S.TEAMS",193.04,100.45,1993-08-24,30,193.99
"Doaks"," Gerrid","RB","HOU",28,5,11,228,"6/9/98","RB-FB",180.34,103.64,1998-06-09,25.2,178.34
"Dobbins"," J.K.","RB","BAL",27,5,10,212,"12/17/98","RB-FB",177.8,96.36,1998-12-17,24.7,179.59
"Dobbs"," Joshua","QB","CLE",15,6,3,220,"1/26/95","QB",190.5,100,1995-01-26,28.5,187.89
"Dodson"," Tyrel","LB","BUF",53,6,0,237,"6/25/98","LB",182.88,107.73,1998-06-25,25.1,182.12
"Dogbe"," Michael","DL","JAC",98,6,3,280,"5/5/96","DL-DE",190.5,127.27,1996-05-05,27.3,188.88
"Domann"," JoJo","LB","IND",57,6,1,230,"7/28/97","LB",185.42,104.55,1997-07-28,26,184.89
"Donald"," Aaron","DL","LAR",99,6,1,280,"5/23/91","DL-DE",185.42,127.27,1991-05-23,32.2,184.27
"Dorn"," Myles","DB","MIA",NA,6,2,205,"6/25/98","DB-CB-S",187.96,93.18,1998-06-25,25.1,186.87
"Dorsett"," Phillip","WR","LV",11,5,10,192,"1/5/93","WR-TE",177.8,87.27,1993-01-05,30.6,176.6
"Dorsey"," Khalil","CB","DET",30,5,9,170,"3/31/98","DB-CB-S",175.26,77.27,1998-03-31,25.4,175.47
"Dortch"," Greg","WR","ARI",83,5,7,175,"5/29/98","WR-TE",170.18,79.55,1998-05-29,25.2,170.9
"Doss"," Keelan","WR","LAC",86,6,3,215,"3/21/96","WR-TE",190.5,97.73,1996-03-21,27.4,190.4
"Doss"," Tykeem","G","BAL",63,6,5,378,"9/25/99","OL-G-C",195.58,171.82,1999-09-25,23.9,196.67
"Dotson"," Elijah","RB","LAC",42,5,9,202,"1/19/99","RB-FB",175.26,91.82,1999-01-19,24.6,175.43
"Dotson"," Jahan","WR","WAS",1,5,11,182,"3/22/00","WR-TE",180.34,82.73,2000-03-22,23.4,178.67
"Dotson"," Kevin","OL","PIT",69,6,4,321,"9/18/96","OL-G-C",193.04,145.91,1996-09-18,26.9,192.63
"Doubs"," Romeo","WR","GB",87,6,2,204,"4/13/00","WR-TE",187.96,92.73,2000-04-13,23.3,186.9
"Douglas"," Demario","WR","NE",60,5,8,170,"12/8/00","WR-TE",172.72,77.27,2000-12-08,22.7,175.14
"Douglas"," Rasul","CB","GB",29,6,2,209,"8/29/95","DB-CB-S",187.96,95,1995-08-29,28,190.56
"Dowdle"," Rico","RB","DAL",23,6,0,215,"6/14/98","RB-FB",182.88,97.73,1998-06-14,25.2,185.28
"Dowell"," Andrew","LB","NO",50,6,1,225,"11/16/96","LB",185.42,102.27,1996-11-16,26.7,183.84
"Dowell"," Colton","WR","TEN",14,6,3,212,"4/19/99","WR-TE",190.5,96.36,1999-04-19,24.3,190.75
"Downs"," Josh","WR","IND",1,5,10,175,"8/12/01","WR-TE",177.8,79.55,2001-08-12,22,175.59
"Doyle"," Tommy","OT","BUF",72,6,8,320,"5/6/98","OL-G-C",203.2,145.45,1998-05-06,25.3,203.14
"Drake"," Kenyan","RB","IND",NA,6,1,216,"1/26/94","RB-FB",185.42,98.18,1994-01-26,29.5,183.75
"Driscoll"," Jack","OT","PHI",63,6,5,312,"4/1/97","OL-G-C",195.58,141.82,1997-04-01,26.4,196.52
"Driskel"," Jeff","QB","ARI",19,6,4,235,"4/23/93","QB",193.04,106.82,1993-04-23,30.3,193.08
"Drummond"," Dontario","WR","DAL",19,6,1,220,"8/22/97","WR-TE",185.42,100,1997-08-22,26,185.88
"Drummond"," Dylan","WR","DET",83,6,0,194,NA,"WR-TE",182.88,88.18,NA,NA,183.03
"Dubose"," Grant","WR","GB",86,6,2,201,"6/20/01","WR-TE",187.96,91.36,2001-06-20,22.1,188.9
"Duggan"," Max","QB","LAC",8,6,1,207,"3/12/01","QB",185.42,94.09,2001-03-12,22.4,185.78
"Dugger"," Kyle","DB","NE",23,6,2,220,"3/22/96","DB-CB-S",187.96,100,1996-03-22,27.4,187.77
"Dulcich"," Greg","TE","DEN",80,6,4,245,"3/26/00","WR-TE",193.04,111.36,2000-03-26,23.4,191.81
"Dulin"," Ashton","WR","IND",16,6,1,215,"5/15/97","WR-TE",185.42,97.73,1997-05-15,26.2,188.06
"Duncan"," Jaelyn","OT","TEN",79,6,6,306,"7/8/00","OL-G-C",198.12,139.09,2000-07-08,23.1,200.96
"Dunkle"," William","G","PIT",68,6,5,330,"12/30/99","OL-G-C",195.58,150,1999-12-30,23.6,197.93
"Dunn"," Isaiah","DB","PIT",NA,6,0,193,"1/31/99","DB-CB-S",182.88,87.73,1999-01-31,24.5,183.71
"Dunn"," Michael","G","CLE",68,6,5,315,"8/28/94","OL-G-C",195.58,143.18,1994-08-28,29,194.15
"Dupree"," Bud","LB","ATL",48,6,4,269,"2/12/93","LB",193.04,122.27,1993-02-12,30.5,194.11
"Durant"," Cobie","DB","LAR",14,5,11,180,"2/9/98","DB-CB-S",180.34,81.82,1998-02-09,25.5,180.97
"Durant"," Yasir","G","DEN",NA,6,7,330,"5/21/98","OL-G-C",200.66,150,1998-05-21,25.2,200.97
"Durden"," Corey","DL","DET",90,6,4,290,NA,"DL-DE",193.04,131.82,NA,NA,192.73
"Durden"," David","WR","DAL",NA,6,2,197,NA,"WR-TE",187.96,89.55,NA,NA,189.04
"Durham"," Payne","TE","TB",87,6,6,253,"6/15/00","WR-TE",198.12,115,2000-06-15,23.2,198.19
"Duvernay"," Devin","WR","BAL",13,5,11,202,"9/12/97","WR-TE",180.34,91.82,1997-09-12,25.9,177.77
"Dwelley"," Ross","TE","SF",82,6,5,235,"1/26/95","WR-TE",195.58,106.82,1995-01-26,28.5,197.71
"Dwumfour"," Michael","DT","CLE",65,6,1,296,"1/1/98",NA,185.42,134.55,1998-01-01,25.6,187.15
"Dye"," Travis","RB","NYJ",35,5,10,201,"8/24/99","RB-FB",177.8,91.36,1999-08-24,24,176.96
"Dye"," Troy","LB","MIN",45,6,3,225,"9/18/96","LB",190.5,102.27,1996-09-18,26.9,190.48
"Dzansi"," Silas","OL","TB",61,6,5,337,"6/13/98","OL-G-C",195.58,153.18,1998-06-13,25.2,197.59
